alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,latitude,longitude,address_1,address_2,address_3,city,zip_code,country,state,display_address,category_1,category_2,category_3,,
ugo-culver-city-2,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 34.0235204048025, 'longitude': -118.39512645496}",(310) 204-1222,1841.528418,bmuNQL8-S3_eKZ-M0yIanA,https://s3-media1.fl.yelpcdn.com/bphoto/3vPerWN4EkmlI1yHu_zzhQ/o.jpg,FALSE,"{'address1': '3865 Cardiff Ave', 'address2': None, 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['3865 Cardiff Ave', 'Culver City, CA 90232']}",Ugo,13102041222,$$,3.5,1670,"['delivery', 'pickup']",https://www.yelp.com/biz/ugo-culver-city-2?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0235204,-118.3951265,3865 Cardiff Ave,,,Culver City,90232,US,CA,"['3865 Cardiff Ave', 'Culver City, CA 90232']",Italian,Wine Bars,,,
public-school-310-culver-city-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 34.02431, 'longitude': -118.3946}",(310) 558-0414,1937.016943,30l_XL9erNlbDgbcX52HzQ,https://s3-media2.fl.yelpcdn.com/bphoto/6smzvD6vLTmRBFmc-YPRfQ/o.jpg,FALSE,"{'address1': '9411 Culver Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9411 Culver Blvd', 'Culver City, CA 90232']}",Public School 310,13105580414,$$,3.5,1652,"['delivery', 'pickup']",https://www.yelp.com/biz/public-school-310-culver-city-2?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02431,-118.3946,9411 Culver Blvd,,,Culver City,90232,US,CA,"['9411 Culver Blvd', 'Culver City, CA 90232']",American (New),Gastropubs,Bars,,
glorias-cafe-los-angeles,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'salvadoran', 'title': 'Salvadoran'}]","{'latitude': 34.0214793, 'longitude': -118.4025151}",(310) 838-0963,1663.850252,G8A7OaP9rcR3-vAWb_7G0Q,https://s3-media2.fl.yelpcdn.com/bphoto/po6kz4SX1M2P3hiOvvkZkA/o.jpg,FALSE,"{'address1': '10227 Venice Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['10227 Venice Blvd', 'Los Angeles, CA 90034']}",Gloria's Cafe,13108380963,$$,4,1604,"['delivery', 'pickup']",https://www.yelp.com/biz/glorias-cafe-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0214793,-118.4025151,10227 Venice Blvd,,,Los Angeles,90034,US,CA,"['10227 Venice Blvd', 'Los Angeles, CA 90034']",Mexican,Seafood,Salvadoran,,
simpang-asia-los-angeles,"[{'alias': 'indonesian', 'title': 'Indonesian'}, {'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'halal', 'title': 'Halal'}]","{'latitude': 34.029081, 'longitude': -118.411699}",(310) 815-9075,2751.08418,qDmJaJjLtjcB4Evd-VCbNA,https://s3-media1.fl.yelpcdn.com/bphoto/pMDLBebiu3Wq2C-G-royDg/o.jpg,FALSE,"{'address1': '10433 National Blvd', 'address2': 'Ste 2', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['10433 National Blvd', 'Ste 2', 'Los Angeles, CA 90034']}",Simpang Asia,13108159075,$$,4,1492,"['delivery', 'pickup']",https://www.yelp.com/biz/simpang-asia-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.029081,-118.411699,10433 National Blvd,Ste 2,,Los Angeles,90034,US,CA,"['10433 National Blvd', 'Ste 2', 'Los Angeles, CA 90034']",Indonesian,Malaysian,Halal,,
alibi-room-los-angeles-2,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 33.99689, 'longitude': -118.42654}",(310) 390-9300,2878.463806,xRB-PmYVsVXVY1TaYUjapw,https://s3-media3.fl.yelpcdn.com/bphoto/KYqbl63dVDlIgy8Q7-nOGw/o.jpg,FALSE,"{'address1': '12236 W Washington Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['12236 W Washington Blvd', 'Los Angeles, CA 90066']}",Alibi Room,13103909300,$$,4,1472,['delivery'],https://www.yelp.com/biz/alibi-room-los-angeles-2?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,33.99689,-118.42654,12236 W Washington Blvd,,,Los Angeles,90066,US,CA,"['12236 W Washington Blvd', 'Los Angeles, CA 90066']",Lounges,Korean,Chicken Wings,,
meet-in-paris-culver-city,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.0219647, 'longitude': -118.3962699}",(310) 815-8222,1652.717933,byuWxWTmdw-vfJw29B9MoA,https://s3-media1.fl.yelpcdn.com/bphoto/CRCWN_k_gsGog-oirME2iQ/o.jpg,FALSE,"{'address1': '9727 Culver Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9727 Culver Blvd', 'Culver City, CA 90232']}",Meet in Paris,13108158222,$$,4,1462,['delivery'],https://www.yelp.com/biz/meet-in-paris-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0219647,-118.3962699,9727 Culver Blvd,,,Culver City,90232,US,CA,"['9727 Culver Blvd', 'Culver City, CA 90232']",French,Bars,Breakfast & Brunch,,
akasha-culver-city-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.0230536, 'longitude': -118.3955239}",(310) 845-1700,1785.213532,GcEzKP7wlzmQQDok2InDqg,https://s3-media1.fl.yelpcdn.com/bphoto/PPn47BBHOFosPW_rIPWWXg/o.jpg,FALSE,"{'address1': '9543 Culver Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9543 Culver Blvd', 'Culver City, CA 90232']}",Akasha,13108451700,$$,3.5,1437,"['delivery', 'pickup']",https://www.yelp.com/biz/akasha-culver-city-2?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0230536,-118.3955239,9543 Culver Blvd,,,Culver City,90232,US,CA,"['9543 Culver Blvd', 'Culver City, CA 90232']",American (New),Coffee & Tea,Breakfast & Brunch,,
the-overland-tap-kitchen-los-angeles-3,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 34.0223554, 'longitude': -118.4099716}",(310) 559-9999,2024.289635,_hXOosQiu1zroFvZLLA-PA,https://s3-media2.fl.yelpcdn.com/bphoto/KVGtUrJwbqPHxBE2p50hCg/o.jpg,FALSE,"{'address1': '3601 Overland Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['3601 Overland Ave', 'Los Angeles, CA 90034']}",The Overland Tap + Kitchen,13105599999,$$,3.5,1401,"['delivery', 'pickup']",https://www.yelp.com/biz/the-overland-tap-kitchen-los-angeles-3?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0223554,-118.4099716,3601 Overland Ave,,,Los Angeles,90034,US,CA,"['3601 Overland Ave', 'Los Angeles, CA 90034']",American (New),Breakfast & Brunch,Beer Bar,,
cafe-vida-culver-city-culver-city,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 34.021791, 'longitude': -118.396617}",(310) 287-0140,1635.420342,-C2vxDphxWzYPLgNgdKJAQ,https://s3-media4.fl.yelpcdn.com/bphoto/NswbQqaEXAOD_AKGDQyo8Q/o.jpg,FALSE,"{'address1': '9755 Culver Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9755 Culver Blvd', 'Culver City, CA 90232']}",Cafe Vida - Culver City,13102870140,$$,4,1314,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/cafe-vida-culver-city-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.021791,-118.396617,9755 Culver Blvd,,,Culver City,90232,US,CA,"['9755 Culver Blvd', 'Culver City, CA 90232']",Breakfast & Brunch,Juice Bars & Smoothies,American (New),,
natalee-thai-los-angeles,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 34.02276, 'longitude': -118.40074}",(310) 202-7003,1745.688187,dS9KA-hE7htftIA_n_5VqA,https://s3-media2.fl.yelpcdn.com/bphoto/gjCLJZlU_pl1y69bdn0WTQ/o.jpg,FALSE,"{'address1': '10101 Venice Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['10101 Venice Blvd', 'Los Angeles, CA 90034']}",Natalee Thai,13102027003,$$,3.5,1303,"['delivery', 'pickup']",https://www.yelp.com/biz/natalee-thai-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02276,-118.40074,10101 Venice Blvd,,,Los Angeles,90034,US,CA,"['10101 Venice Blvd', 'Los Angeles, CA 90034']",Thai,,,,
kayndaves-culver-city,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 34.0250964, 'longitude': -118.3937963}",(310) 558-8100,2046.883284,sr6S-enQo2uDl2KhBwIvSg,https://s3-media2.fl.yelpcdn.com/bphoto/GI5x3hhDHs6JM2hgAbjL0g/o.jpg,FALSE,"{'address1': '9341 Culver Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9341 Culver Blvd', 'Culver City, CA 90232']}",Kayndaves,13105588100,$$,3.5,1303,"['pickup', 'restaurant_reservation']",https://www.yelp.com/biz/kayndaves-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0250964,-118.3937963,9341 Culver Blvd,,,Culver City,90232,US,CA,"['9341 Culver Blvd', 'Culver City, CA 90232']",Mexican,,,,
the-wallace-culver-city,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.0246651, 'longitude': -118.394661}",(310) 202-6400,1981.497708,tylXceTdLY0fIFh2gse5AQ,https://s3-media4.fl.yelpcdn.com/bphoto/fjivgWI2w8UL-T6ol25vBQ/o.jpg,FALSE,"{'address1': '3833 Main St', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['3833 Main St', 'Culver City, CA 90232']}",The Wallace,13102026400,$$,4,1274,['restaurant_reservation'],https://www.yelp.com/biz/the-wallace-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0246651,-118.394661,3833 Main St,,,Culver City,90232,US,CA,"['3833 Main St', 'Culver City, CA 90232']",American (New),Tapas/Small Plates,Breakfast & Brunch,,
maple-block-meat-co-culver-city-23,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.00922, 'longitude': -118.41467}",(310) 313-6328,1557.579329,B8TsNYfav6E_OgXLI4Oc3g,https://s3-media2.fl.yelpcdn.com/bphoto/6aSQcIP1s1WmQuccKK-Rbg/o.jpg,FALSE,"{'address1': '3973 Sepulveda Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['3973 Sepulveda Blvd', 'Culver City, CA 90230']}",Maple Block Meat Co,13103136328,$$,4,1218,"['delivery', 'pickup']",https://www.yelp.com/biz/maple-block-meat-co-culver-city-23?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.00922,-118.41467,3973 Sepulveda Blvd,,,Culver City,90230,US,CA,"['3973 Sepulveda Blvd', 'Culver City, CA 90230']",Barbeque,American (Traditional),Breakfast & Brunch,,
casa-sanchez-los-angeles,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 33.9927987, 'longitude': -118.4227098}",(310) 397-9999,2784.003837,KW6SuvmXZOBJSvMDhk8KUw,https://s3-media3.fl.yelpcdn.com/bphoto/aME9NBCCMMxDU3-gBSf88g/o.jpg,FALSE,"{'address1': '4500 S Centinela Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['4500 S Centinela Ave', 'Los Angeles, CA 90066']}",Casa Sanchez,13103979999,$$,4,1215,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/casa-sanchez-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,33.9927987,-118.4227098,4500 S Centinela Ave,,,Los Angeles,90066,US,CA,"['4500 S Centinela Ave', 'Los Angeles, CA 90066']",Mexican,,,,
